price,type,title,address,gov,bathrooms,total_rooms,living_area,total_area,rooms
3 000 DT,location,Appartement s+3,Aïn Zaghouan, Tunis,,,,,
1 100 DT,location,Appartement Meublé s+2 à Ain Zaghouan ref: MAL0066,Aïn Zaghouan, Tunis,,,,,
1 500 DT,location,Un appartement s+3,Aïn Zaghouan, Tunis,,,,,
140 000 DT,vente,APPARTEMENT S+3 à El ouardia1,El Ouardia, Tunis,1,4,100,100,4
4 500 DT,location,Villa  avec piscine et jardin à Gammarth,La Marsa, Tunis,1,4,320,620,3
800 DT,location,Appartement Meublé s+3 à la marsa cité du stade ref: MAL0189,La Marsa, Tunis,,,,,
1 800 DT,location,Appartement Meublé s+3 à la marsa cité du stade ref: MAL0187,La Marsa, Tunis,,,,,
1 800 DT,location,Appartement s+3 ref: MAL0177,Aïn Zaghouan, Tunis,,,,,
12 000 DT,location,Villa au lac 2 avec Piscine et jardin Ref MVV0081,Les Berges Du Lac, Tunis,,,,,
285 000 DT,vente,S+2 a 2 min de la plage,Le Kram, Tunis,1,,105,,2
2 500 DT,location,Appartement S+2 meublé au Golden Tulip,La Marsa, Tunis,1,3,100,,2
220 000 DT,vente,S+2 avec place de parking,Aïn Zaghouan, Tunis,1,5,135,,1
2 000 000 DT,vente,Magnifique penthouse au lac 2,Les Berges Du Lac, Tunis,2,6,430,,5
7 000 DT,location,Villa S+5 à gammarth zone touristique avec Jardin Ref VL421,La Marsa, Tunis,,,,,
950 DT,location,Appartement s+3 à carthage salambo ref AL3088,Carthage, Tunis,,,,,
2 700 DT,location,Villa carthage salammbo,Carthage, Tunis,2,5,350,200,4
5 000 DT,location,Appartement avec vue mer s+2 ref : AL3195,La Marsa, Tunis,,,,,
469 000 DT,vente,Terrain idéal pour villa papiers en règles,Le Bardo, Tunis,,,,510,
780 DT,location,RDC MAISON CENTRE VILLE,Centre Ville - Lafayette, Tunis,,4,,,4
7 000 DT,location,Villa s+6 au jardin de carthage avec jardin Ref MVL0105,La Marsa, Tunis,,,,,
1 400 DT,location,Apparttement s+1 meublé,Aïn Zaghouan, Tunis,,,70,,
410 000 DT,vente,Un appartement s+2 ain zaghouen nord,Aïn Zaghouan, Tunis,,,150,,
6 000 DT,location,Villa à la marsa cube s+7 ref MVL 0104,La Marsa, Tunis,,,,,
,vente,Petit appartement au Bardo,Le Bardo, Tunis,1,2,65,,1
1 000 DT,location,Local commercial à sidi bou said ref MCL0012,Sidi Bou Said, Tunis,,,25,,
3 000 DT,location,Local commercial à Ain Zaghouan nord ref MCL0011,La Marsa, Tunis,,,100,,
2 000 DT,location,Appartement Meublé s+2 à sidi daoud ref: MAL0183,Sidi Daoud, Tunis,,,,,
3 500 DT,location,Local commercial à Ain Zaghouan nord ref MCL0013,La Marsa, Tunis,,,150,,
1 200 000 DT,vente,Villa avec piscine à Gammarth supérieur,La Marsa, Tunis,2,6,300,,5
750 DT,location,Appartement Meublé s+1 à la marsa ref: MAL0182,La Marsa, Tunis,,,,,
2 000 DT,location,Appartement Meublé s+2 à sidi daoud ref: MAL0183,La Marsa, Tunis,,,,,
300 000 DT,vente,A VENDRE A BHAR LAZREG un bel appartement,La Marsa, Tunis,,4,137,,3
1 800 DT,location,Un appartement s+2 à gammarth,Gammarth, Tunis,,,,,
1 800 DT,location,Un appartement s+2 à gammarth,Gammarth, Tunis,,,,,
850 000 DT,vente,Bureaux spacieux à la marsa,La Marsa, Tunis,3,,270,,
1 900 DT,location,Un appartement s+2 à gammarth,Gammarth, Tunis,,,159,,
1 800 DT,location,Un appartement s+2 à gammarth,Gammarth, Tunis,,,,,
1 600 DT,location,Appartement Meublé s+1 à sidi daoud ref: MAL0181,La Marsa, Tunis,,,,,
1 700 DT,location,Un appartement s+1 à gammarth,Gammarth, Tunis,,,160,,
1 500 DT,location,Appartement S+1 avec jardin au Golden Tulip,La Marsa, Tunis,1,2,70,,1
190 DT,vente,2 appartements à vendre,Centre Ville - Lafayette, Tunis,,,97,,
1 DT,vente,Terrain à Gammarth de 1058 m2,La Marsa, Tunis,,,,1058,
342 000 DT,vente,Bel Appartement S+4 totalement rénové à Riyadh Soukra,L'aouina, Tunis,2,4,163,,4
25 000 DT / Mois,location,Magnifique Villa avec piscine au Golden Tulip,La Marsa, Tunis,2,9,650,2100,6
8 000 DT,location,Villa s+3 à gammarth avec Piscine et jardin Ref MVL0060,Gammarth, Tunis,,,,,
3 000 DT,location,Duplex S+3 meublé au golden tulipe,La Marsa, Tunis,2,4,169,,3
1 100 DT,location,Appartement meublé a louer a Amilcar,Sidi Bou Said, Tunis,1,2,60,,1
1 600 DT,location,S+2 au Lac2,Les Berges Du Lac, Tunis,,3,101,101,3
473 200 DT,vente,Appartement s3 avec jardin,Jardin De Carthage, Tunis,,,,,
